Age,Land_Area,Polar_Land_Area,Temperate_Land_Area,Subtropical_Land_Area,Tropical_Land_Area,Northern_Land_Area,Southern_Land_Area,High_Altitude_Area,Continental_Shelves_Area,Ocean_Area,Ocean_Volume,Coastline_length,Continents_Number
0,158993778515525.84,33938534800938.83,36787281550262.23,36638326165068.1,52070004101122.56,106563782238507.95,52429996277017.9,1036889433042.6128,16895539483301.18,351071847693410.75,1.3369715e+18,424694176.30760455,4
6,157474533556602.9,34541654155889.28,35633427150322.21,36440985272200.17,51311131397089.92,104645256871219.02,52829276685383.9,1540238670930.152,17856251732774.715,352591092652333.7,1.3366628e+18,435984919.69655466,4
11,157482231251005.56,34112382730370.094,36159769501360.52,36265837732025.6,51420698579756.21,104858493003178.12,52623738247827.44,1335599963888.2866,18442676088176.56,352583394957931.06,1.3365443e+18,455576731.0915818,5
15,160314682881009.06,34516761611652.14,36326719496846.56,38233548367445.75,51729506086376.79,107037140459242.31,53277542421766.766,2239129340656.4253,18085882954110.9,349750943327927.6,1.3364414e+18,445719314.0079063,4
20,157834925612726.97,35420191018363.1,36536256736690.11,38504167312224.61,47851667568470.6,106387135147475.72,51447790465251.25,2571529780770.838,19373397320496.92,352230700596209.6,1.3364341e+18,471071995.8878036,4
33,152100043312695.88,35236246113156.93,38150973100217.33,35771785709455.55,43405199365340.125,102177695949912.56,49922347362783.33,1918425397231.753,23920635341262.08,357965582896240.75,1.33603e+18,339429762.38049626,4
40,147976578364305.16,35146073121583.035,38326820430792.14,30902744074636.76,44023314228867.17,98465707756863.44,49510870607441.7,1479356906109.1963,26131373185680.164,362089047844631.5,1.3356676e+18,372388130.0545045,5
48,145058152485129.2,33512662357363.668,39116383942378.2,29941831885048.87,42900950396937.984,95069325034322.95,49988827450806.21,1658103368342.1497,29206951994738.78,365007473723807.4,1.3340545e+18,451714989.9859539,6
56,139746043556900.77,30845461231874.188,41147475594048.73,30061895923718.77,38140876124442.42,86447207512955.23,53298836043945.52,1545437113903.37,30525457078849.76,370319582652035.9,1.3346243e+18,452965514.039744,4
68,134934584675016.08,28579339975779.9,40821773147765.19,28676810781527.73,37281033662660.75,81497989892280.28,53436594782735.8,1362491909268.9714,33627228042888.816,375131041533920.56,1.3319459e+18,418679251.2252311,5
84,97979853278981.92,23785375853901.24,28201553129707.008,19161760709452.645,27095984267383.613,56708414814033.39,41271438464948.54,1712886959675.292,66954345974131.48,412085772929954.7,1.3294217e+18,556017201.2162513,1
94,130260684591807.31,29459876239397.266,41592742228716.27,26169161867293.17,33419190353902.93,77216972133778.17,53043712458029.14,1204839129100.4214,35539855176804.29,379804941617129.3,1.3309476e+18,539292564.1326922,4
100,139973475436979.05,34079292641444.41,45039809770245.61,25315617519113.664,35899547442528.09,80817193802903.1,59156281634075.945,1343597568462.4678,31089987991729.78,370092150771957.6,1.3328446e+18,537118398.4847302,4
113,104536589419067.31,24538050414388.883,31788578751284.523,19388992649416.57,29109581159048.125,61496080822309.88,43040508596757.45,1884235637677.128,63042917517013.73,405529036789869.3,1.3294603e+18,693727396.0424852,3
120,141285882347602.2,27916038646408.73,49428595250384.81,27392395486914.21,36960129779121.72,82910866710366.6,58375015637235.61,1293012719530.7708,30075591821552.05,368779743861334.4,1.3308276e+18,528017807.1787501,3
133,154149129574658.3,30083089575840.348,52153978949151.46,32433285650020.72,39941136914090.64,84289053918612.39,69860075656045.92,850845156635.7191,22258933050861.55,355916496634278.3,1.331118e+18,500834712.7022919,2
140,172806241435480.12,30920538744814.32,57529069013401.57,44908049234885.98,40037508049209.53,89529884196073.44,83276357239406.67,779366565753.9731,12613322084112.95,337259384773456.5,1.3365019e+18,443554821.2718092,2
