Age,Land_Area,Polar_Land_Area,Temperate_Land_Area,Subtropical_Land_Area,Tropical_Land_Area,Northern_Land_Area,Southern_Land_Area,High_Altitude_Area,Continental_Shelves_Area,Ocean_Area,Ocean_Volume,Coastline_length,Continents_Number
154,168855724686006.06,25071890519715.49,56698917658601.55,47183867586526.46,40483474474277.32,87700532119786.62,81155192566219.42,963611381131.676,15204246055976.176,341209901522930.56,1.3363441e+18,382898111.3088586,2
165,177112051768162.2,26101482138584.16,57327429408075.02,47388206383396.79,46887356396938.69,95589969092102.2,81522082676060.0,1133760418447.3845,11223438379177.406,332953574440774.44,1.3366243e+18,332401417.8490513,1
180,176103253921186.38,27006810976381.49,54594947835248.79,44408698799285.52,50665824678010.66,97402226288611.69,78701027632574.7,1612716962383.6704,12078582248271.748,333962372287750.25,1.3365732e+18,319821515.44244736,1
200,157280891555850.56,23912737706745.08,45106589768440.03,40666619619026.07,48108290705244.65,85836590403716.48,71444301152134.08,2319205356455.416,25460874012192.234,352784734653086.06,1.3334441e+18,382995866.7179935,2
210,153792936260935.72,21396491367593.27,45443488861127.41,41488773369251.92,46011018875722.76,77753511430648.56,76039424830287.14,2223134131508.0625,24462273111048.52,356272689948000.94,1.3324642e+18,399067545.0771587,1
220,152787437425846.75,22070489493082.4,45141779228566.42,39933939069973.88,46124584860676.14,75256759252646.33,77530678173200.44,2533341218929.122,23532651549357.11,357278188783089.9,1.3336822e+18,429456391.1824972,3
230,149965682591961.22,21217544965245.96,43625833281530.35,37373605935606.9,48230554085172.445,74020029675306.36,75945652916654.88,2560133194252.6294,23844258217578.65,360099943616975.4,1.332287e+18,411515630.0718919,4
240,160864318255369.7,23769380644752.88,48148778578401.44,38893550684930.06,50576951297180.08,73046621228571.31,87817697026798.39,1795162316732.1826,15892239989470.129,349201307953566.94,1.3362982e+18,248965597.1013817,1
250,162370667076916.75,23498161879630.96,48272141628958.19,39293530883696.31,51866864944938.35,73082210568926.4,89288456507990.33,1493652624285.5457,15985711992930.871,347694959132019.9,1.3364578e+18,223580319.02273285,0
270,166406358315105.84,28763584791157.6,43214156586074.37,41526262140693.39,53466485829831.8,69902662900403.44,96503695414702.4,1412276997743.2502,11929426922963.266,343659267893830.8,1.3363275e+18,348678584.4987135,1
290,165007577275081.53,31316620111350.645,39904647843220.95,39977625984960.34,54312432453665.84,60767798955773.49,104239778319308.05,2741278937857.8374,12317110804696.707,345058048933855.1,1.33667e+18,410216229.5009592,2
300,170413857997170.94,32510762444333.1,39662120484508.89,40143376339760.26,58611044942231.13,61075406821707.945,109338451175463.0,2400580982997.7114,11484760108638.783,339651768211765.7,1.33691e+18,296148212.30283785,2
315,160247103122357.25,33103185003165.586,46045008695163.03,30337813281528.027,51198065262422.44,49808381497601.25,110438721624756.0,3352195957268.116,12992208600814.793,349818523086579.4,1.3367608e+18,320571460.0989334,2
331,161618292426600.62,35488570537472.35,45439989909126.21,26159564741804.152,54983131567268.12,45308829194109.64,116309463232491.0,3588925052663.884,10906533297925.47,348447333782336.0,1.3368633e+18,303590831.1447659,3
350,155595196451727.47,34997417646560.44,36997918460734.73,24489265026486.38,59485483032360.69,39245345316136.87,116349851135590.6,2878837736533.7563,12544742624889.344,354470429757209.1,1.3366741e+18,315607376.9130678,4
370,157008373179985.3,32958828240601.61,39484673633019.24,27286327256249.13,57649133052071.47,36184462105483.305,120823911074502.02,3069380665513.6274,8185848191846.15,353057253028951.3,1.3363251e+18,323709954.2437272,4
383,155859617252961.34,29754987848184.56,35911243939217.84,32155168950953.56,58446594198174.53,32479571786493.8,123380045466467.56,3407979249173.0303,8363894863678.862,354206008955975.25,1.3362604e+18,319742891.0017736,3
393,158342473593015.97,25339810272950.56,38619932638435.88,34457079487517.312,60416704114966.93,31350409990676.56,126992063602339.4,2959913452904.52,8599424318388.504,351723152615920.7,1.3364557e+18,322823432.4888652,2
408,156379861430511.84,31173363019415.62,37135877139639.36,32635625045747.508,55821780376928.21,28626425872710.395,127753435557801.44,2788564774902.6846,10093876703131.469,353685764778424.75,1.336441e+18,286269693.0311959,1
420,153420847708121.94,30378601064856.35,31055298381889.27,26244739230519.184,66121795337959.2,37073595794017.92,116347251914104.0,2539939242702.822,14476364069668.496,356644778500814.7,1.3365441e+18,313957789.5739864,2
444,139634776883262.44,24053195637079.137,26196253752788.21,32587739388359.6,57224060368953.73,38965529126097.695,100669247757164.77,2152455301083.7349,20374997323355.96,370430849325674.2,1.3358665e+18,386630683.4052205,3
463,133836513566980.95,20852354346377.406,27072891184175.664,27258735520468.203,59011325051168.914,37437086921914.46,96399426645066.52,2823354354800.373,27526955183874.81,376229112641955.6,1.3320626e+18,467292113.6998664,3
475,136401345353920.94,24506959726606.76,25963423489622.355,24211948087876.64,62060511765132.734,31163066103526.363,105238279250394.56,3196442608185.9336,23480967029796.46,373664280855015.7,1.3330838e+18,468530245.6804334,3
489,142723051889582.6,28847359699072.152,25230043150169.93,26714198619023.63,62287243854810.77,26895444332686.016,115827607556896.58,2803660253536.452,16256830787995.62,367342574319354.06,1.3354792e+18,388804650.0148089,3
500,140656170957442.6,24355005239697.31,26874550590735.965,30812671053120.043,59043015559294.1,27324615788148.023,113331555169294.56,2863142437556.926,18311915253388.7,369409455251494.0,1.3329726e+18,370806512.8477913,3
518,141602287578568.25,18256031991426.605,26165163065006.08,35964128099464.61,61668029320654.78,27998713883694.33,113603573694873.9,2583326247517.7554,17570037459076.2,368463338630368.4,1.3313446e+18,336319456.54695576,2
535,144574497348505.56,15366597428832.06,29999314667925.8,39560750846531.14,60144685589387.59,23660813162658.367,120913684185847.2,4760774062895.807,16601727485257.191,365491128860431.1,1.333574e+18,345061859.04565656,3
545,94564076365349.06,8048589303341.763,31733395279722.67,25118976416645.98,30032204816737.12,16210744591636.9,78353331773712.17,2724783878423.5884,56843174451108.34,415501549843587.6,1.3280954e+18,538335419.3662082,3
